name,longitude,latitude
M,0,0
E,0,2
x,0,4
M,0,7
E,0,8
E,0,9
i,0,10
i,0,13
I,0,16
M,0,21
L,0,22
M,0,32
M,0,33
x,0,48
E,0,53
M,0,56
L,1,1
M,1,4
x,1,8
M,1,12
x,1,17
E,1,18
M,1,20
i,1,40
M,2,0
E,2,3
x,2,16
i,2,33
x,2,37
E,2,56
E,3,2
E,3,10
E,3,28
E,4,0
x,4,1
I,4,5
M,4,8
M,4,16
x,4,18
i,4,20
M,4,24
M,4,32
x,4,33
x,4,34
M,4,44
E,5,4
M,5,6
x,5,8
x,5,34
M,6,5
i,7,0
i,8,0
M,8,1
I,8,4
M,8,5
x,8,12
E,8,26
E,9,0
E,10,0
E,10,3
x,10,32
E,11,16
x,12,1
M,12,8
x,12,32
M,13,0
I,14,36
x,16,0
E,16,2
x,16,4
E,16,11
M,16,22
E,16,28
M,16,33
M,17,1
I,17,36
I,18,1
i,18,4
i,18,40
I,20,1
i,20,4
M,21,0
i,22,0
E,22,16
E,24,4
M,24,24
E,24,33
x,24,39
E,24,48
E,24,50
E,26,8
M,28,3
E,28,16
E,32,0
E,32,4
E,32,10
M,32,12
x,32,32
M,32,36
i,32,50
i,32,56
E,33,0
E,33,2
E,33,4
E,33,16
M,33,24
I,34,4
M,34,5
E,36,14
E,36,17
M,36,32
M,37,2
i,39,24
i,40,1
I,40,18
E,44,4
M,48,0
i,48,24
M,50,24
I,50,32
i,53,0
E,56,0
M,56,2
M,56,32
