name,longitude,latitude
M,0.0,0.0
E,0.0,1.0
x,0.0,2.0
M,0.0,3.0
E,0.0,4.0
E,0.0,5.0
i,0.0,7.0
i,0.0,8.0
I,0.0,9.0
M,0.0,11.0
L,0.0,16.0
M,0.0,18.0
M,0.0,19.0
x,0.0,20.0
E,0.0,24.0
M,0.0,32.0
L,0.0,34.0
M,0.0,37.0
x,0.0,41.0
M,0.0,42.0
x,0.0,49.0
E,0.0,56.0
M,0.0,64.0
i,0.0,67.0
M,0.0,85.0
E,0.0,90.0
x,0.0,96.0
i,0.0,100.0
x,0.0,108.0
E,0.0,118.0
E,0.0,128.0
E,0.0,132.0
E,0.0,138.0
E,0.0,140.0
x,0.0,141.0
I,0.0,144.0
M,0.0,176.0
M,0.0,177.0
x,0.0,196.0
i,0.0,200.0
M,0.0,204.0
M,0.0,205.0
x,0.0,225.0
x,1.0,0.0
M,1.0,2.0
E,1.0,12.0
M,1.0,16.0
x,1.0,22.0
x,1.0,41.0
M,1.0,48.0
i,1.0,66.0
i,1.0,68.0
M,1.0,72.0
I,1.0,77.0
M,1.0,129.0
x,1.0,145.0
E,1.0,173.0
E,1.0,174.0
E,1.0,176.0
E,1.0,200.0
x,1.0,210.0
E,1.0,224.0
x,2.0,0.0
M,2.0,1.0
x,2.0,2.0
M,2.0,4.0
I,2.0,6.0
x,2.0,8.0
E,2.0,9.0
x,2.0,14.0
E,2.0,16.0
M,2.0,33.0
E,2.0,41.0
M,2.0,48.0
M,2.0,50.0
I,2.0,64.0
I,2.0,67.0
i,2.0,68.0
i,2.0,71.0
I,2.0,75.0
i,2.0,84.0
M,2.0,96.0
i,2.0,100.0
E,2.0,129.0
E,2.0,131.0
M,2.0,132.0
E,2.0,164.0
x,2.0,216.0
E,3.0,0.0
E,3.0,16.0
E,3.0,17.0
M,3.0,20.0
E,3.0,128.0
E,4.0,0.0
E,4.0,2.0
E,4.0,6.0
M,4.0,7.0
x,4.0,9.0
M,4.0,64.0
i,4.0,80.0
i,4.0,97.0
E,4.0,98.0
E,4.0,128.0
E,4.0,130.0
E,4.0,135.0
M,4.0,224.0
I,5.0,0.0
M,5.0,7.0
E,5.0,8.0
E,5.0,12.0
M,5.0,33.0
M,5.0,52.0
i,5.0,66.0
i,5.0,98.0
I,5.0,129.0
E,5.0,193.0
M,6.0,2.0
i,6.0,4.0
M,6.0,20.0
I,6.0,36.0
i,6.0,194.0
E,7.0,0.0
M,7.0,4.0
M,7.0,5.0
x,7.0,128.0
M,7.0,129.0
E,7.0,132.0
M,8.0,0.0
I,8.0,2.0
I,8.0,5.0
I,8.0,13.0
E,8.0,14.0
M,8.0,24.0
E,8.0,32.0
i,8.0,40.0
x,8.0,41.0
E,8.0,96.0
E,8.0,144.0
x,9.0,0.0
I,9.0,2.0
E,9.0,4.0
x,9.0,80.0
E,9.0,104.0
i,9.0,128.0
E,9.0,146.0
E,9.0,158.0
E,9.0,232.0
x,10.0,34.0
E,10.0,66.0
i,10.0,80.0
x,11.0,0.0
M,11.0,204.0
E,12.0,1.0
i,12.0,5.0
E,12.0,21.0
E,12.0,32.0
E,12.0,65.0
x,12.0,72.0
i,12.0,73.0
x,12.0,114.0
E,12.0,128.0
E,12.0,135.0
E,12.0,242.0
M,13.0,8.0
x,13.0,40.0
E,14.0,2.0
E,14.0,8.0
I,14.0,40.0
i,14.0,80.0
E,14.0,224.0
E,16.0,0.0
x,16.0,1.0
x,16.0,2.0
M,16.0,3.0
M,16.0,24.0
I,16.0,32.0
E,16.0,36.0
M,16.0,64.0
E,16.0,81.0
x,16.0,96.0
E,16.0,128.0
E,16.0,144.0
x,16.0,161.0
E,16.0,164.0
E,16.0,202.0
E,16.0,226.0
I,17.0,3.0
I,17.0,20.0
E,17.0,40.0
x,17.0,64.0
M,17.0,80.0
i,17.0,130.0
E,17.0,136.0
M,17.0,160.0
E,17.0,200.0
I,18.0,0.0
M,18.0,33.0
I,18.0,144.0
E,19.0,0.0
M,19.0,128.0
I,19.0,160.0
I,20.0,0.0
M,20.0,3.0
I,20.0,6.0
i,20.0,17.0
M,20.0,97.0
M,20.0,128.0
M,20.0,132.0
M,20.0,168.0
x,21.0,12.0
M,21.0,64.0
i,21.0,128.0
x,22.0,1.0
E,22.0,32.0
i,24.0,0.0
i,24.0,8.0
x,24.0,16.0
M,24.0,106.0
p,24.0,208.0
L,26.0,32.0
M,26.0,192.0
i,28.0,44.0
E,32.0,0.0
E,32.0,8.0
M,32.0,12.0
E,32.0,16.0
x,32.0,22.0
I,32.0,26.0
M,32.0,42.0
x,32.0,52.0
M,32.0,57.0
i,32.0,64.0
x,32.0,72.0
E,32.0,128.0
x,32.0,136.0
M,32.0,144.0
E,32.0,148.0
x,32.0,168.0
i,32.0,208.0
E,32.0,231.0
M,33.0,2.0
M,33.0,5.0
L,33.0,18.0
M,34.0,0.0
p,34.0,10.0
x,34.0,66.0
E,34.0,128.0
I,34.0,140.0
x,34.0,160.0
E,36.0,6.0
E,36.0,16.0
M,36.0,49.0
E,36.0,136.0
M,37.0,0.0
M,37.0,44.0
