name,longitude,latitude
1,7.408162475899014,8.706444643090059
2,2.0089782254677617,4.650497037091034
3,6.741375005331913,1.5602030859840523
4,2.9116407147196552,1.5013652895752863
5,2.9532318022156323,5.764972046860292
6,2.4032317869247146,4.017282730631335
7,8.178187299552967,-0.7846303599253597
8,6.5540640165646575,6.881385453428076
9,2.480133563280744,0.780302742345528
10,8.430461363159306,0.9095614151827354
11,1.4991547273435355,4.481874564262568
12,7.584531253398799,-0.18526645894502813
13,2.5757278769701157,1.6700292035894027
14,8.66831113245847,4.507445860491096
15,8.844281551879092,0.3542738604514799
16,2.693681880359046,6.201859010339959
