name,longitude,latitude
M,0,0
E,0,1
x,0,2
M,0,4
E,0,7
E,0,8
i,0,9
i,0,16
I,0,20
M,0,22
L,0,32
M,0,33
M,0,35
x,0,36
E,0,41
M,0,47
L,0,60
M,1,0
x,1,12
M,1,17
x,1,20
E,1,37
M,1,42
i,1,56
M,2,0
E,2,3
x,2,13
i,2,16
x,2,33
E,2,36
E,2,40
E,3,2
E,3,4
E,4,0
x,4,3
I,4,7
M,4,18
M,4,33
x,4,40
i,5,10
M,6,12
M,6,24
x,6,29
x,7,0
M,7,4
E,7,8
M,8,0
x,8,7
x,8,8
M,8,17
i,8,22
i,8,34
M,8,53
I,9,0
M,9,10
x,9,22
E,9,32
E,9,50
E,10,5
E,10,9
x,10,25
E,11,24
x,12,1
M,12,6
x,12,33
M,12,34
I,13,2
x,16,0
E,16,2
x,16,16
E,16,26
M,16,36
E,17,1
M,17,8
M,18,4
I,18,32
I,20,0
i,20,1
i,20,50
I,21,41
i,22,0
M,22,8
i,22,9
E,24,6
E,24,11
M,24,32
E,25,10
x,26,16
E,28,32
E,29,6
E,29,32
M,32,0
E,32,9
E,32,18
E,32,24
E,32,28
M,32,29
x,32,33
M,33,0
i,33,2
i,33,4
E,33,12
E,33,32
E,34,8
E,34,12
M,35,0
I,36,0
M,36,2
E,36,16
E,36,48
M,37,1
M,40,2
i,40,4
i,41,0
I,41,21
E,42,1
M,47,0
i,48,36
M,48,56
I,50,9
i,50,20
E,53,8
M,56,1
M,56,48
x,60,0
