name,longitude,latitude
216,0.0,0.0
162,0.0,1.0
207,0.0,2.0
M,0.0,3.0
91,0.0,4.0
E,0.0,5.0
194,0.0,7.0
i,0.0,8.0
I,0.0,9.0
M,0.0,10.0
L,0.0,11.0
M,0.0,12.0
M,0.0,16.0
x,0.0,17.0
E,0.0,18.0
M,0.0,20.0
L,0.0,24.0
M,0.0,28.0
x,0.0,32.0
M,0.0,36.0
x,0.0,37.0
E,0.0,64.0
M,0.0,65.0
i,0.0,66.0
M,0.0,68.0
E,0.0,70.0
x,0.0,76.0
i,0.0,77.0
x,0.0,80.0
E,0.0,88.0
E,0.0,96.0
E,0.0,98.0
E,0.0,104.0
E,0.0,106.0
x,0.0,125.0
I,0.0,129.0
M,0.0,133.0
M,0.0,136.0
x,0.0,144.0
i,0.0,160.0
M,0.0,165.0
M,0.0,180.0
x,0.0,204.0
x,0.0,224.0
M,0.0,242.0
E,0.0,246.0
M,0.0,248.0
x,1.0,0.0
130,1.0,2.0
M,1.0,5.0
i,1.0,8.0
i,1.0,10.0
M,1.0,16.0
I,1.0,20.0
M,1.0,26.0
x,1.0,32.0
E,1.0,36.0
E,1.0,41.0
E,1.0,49.0
E,1.0,51.0
x,1.0,66.0
E,1.0,69.0
x,1.0,74.0
M,1.0,75.0
x,1.0,98.0
M,1.0,130.0
I,1.0,132.0
x,1.0,133.0
E,1.0,137.0
x,2.0,0.0
59,2.0,1.0
M,2.0,24.0
E,2.0,25.0
M,2.0,56.0
M,2.0,67.0
I,2.0,80.0
I,2.0,128.0
i,2.0,167.0
i,2.0,220.0
I,3.0,0.0
i,3.0,8.0
M,3.0,48.0
i,3.0,80.0
E,3.0,100.0
E,3.0,113.0
M,3.0,128.0
E,4.0,0.0
x,4.0,10.0
E,4.0,16.0
E,4.0,32.0
E,4.0,40.0
M,4.0,43.0
E,4.0,48.0
E,4.0,50.0
E,4.0,64.0
E,4.0,68.0
M,4.0,70.0
x,4.0,72.0
M,4.0,80.0
i,4.0,97.0
i,4.0,105.0
E,4.0,128.0
E,4.0,135.0
E,4.0,136.0
E,4.0,145.0
M,4.0,176.0
13,5.0,0.0
M,5.0,1.0
E,5.0,27.0
E,5.0,32.0
M,5.0,48.0
M,6.0,97.0
i,6.0,130.0
209,7.0,0.0
147,8.0,0.0
E,8.0,1.0
M,8.0,3.0
i,8.0,16.0
M,8.0,18.0
I,8.0,20.0
i,8.0,24.0
E,8.0,35.0
M,8.0,40.0
M,8.0,41.0
x,8.0,48.0
M,8.0,58.0
E,8.0,100.0
M,8.0,112.0
I,8.0,129.0
I,8.0,152.0
I,8.0,162.0
E,8.0,164.0
M,8.0,169.0
E,8.0,177.0
161,9.0,0.0
x,9.0,21.0
E,9.0,64.0
E,9.0,66.0
x,9.0,68.0
I,9.0,98.0
E,9.0,130.0
x,9.0,242.0
243,10.0,0.0
57,10.0,1.0
E,10.0,4.0
E,10.0,33.0
E,10.0,52.0
x,10.0,152.0
E,10.0,160.0
i,10.0,192.0
151,11.0,0.0
M,11.0,18.0
E,11.0,128.0
i,11.0,132.0
E,12.0,0.0
E,12.0,136.0
E,12.0,160.0
x,13.0,114.0
i,14.0,100.0
x,14.0,114.0
E,16.0,0.0
E,16.0,1.0
E,16.0,4.0
M,16.0,8.0
x,16.0,19.0
E,16.0,32.0
E,16.0,33.0
I,16.0,70.0
i,16.0,73.0
E,16.0,84.0
E,16.0,129.0
x,16.0,133.0
x,16.0,192.0
M,16.0,193.0
M,17.0,0.0
I,17.0,24.0
E,17.0,64.0
M,17.0,96.0
E,17.0,98.0
x,17.0,112.0
E,17.0,186.0
E,18.0,0.0
x,18.0,8.0
E,18.0,11.0
E,18.0,80.0
E,18.0,128.0
I,18.0,136.0
I,19.0,16.0
E,19.0,33.0
x,19.0,48.0
M,19.0,72.0
i,20.0,0.0
E,20.0,1.0
M,20.0,8.0
E,20.0,65.0
I,20.0,75.0
M,20.0,96.0
I,21.0,9.0
E,22.0,128.0
M,22.0,129.0
I,23.0,42.0
I,24.0,0.0
M,24.0,2.0
I,24.0,8.0
i,24.0,17.0
M,24.0,32.0
M,24.0,164.0
M,25.0,2.0
M,25.0,160.0
x,26.0,1.0
M,27.0,5.0
i,28.0,0.0
x,28.0,128.0
E,28.0,136.0
i,28.0,148.0
i,32.0,0.0
